"indexbrawddeg","yfrawddeg","numberunits","valueunits","mediumval","rel_mediumval","mediumval_sq","rel_mediumval_sq","mediumval_nusq","rel_mediumval_nusq","mediumval_sq_nusq","rel_mediumval_sq_nusq","mediumval_hnu","rel_mediumval_hnu","mediumval_sq_hnu","rel_mediumval_sq_hnu","finished","tagref","tagcategory","tagfunction"
"320"," A mi a adawaf wyrda drossof yma, y attep y pawb o r a th ouynno di","17","0.55127","0.0324276","0.158518","0.0178764","0.427176","0.00190751","0.00932459","0.00105155","0.025128","0.0000000228387","0.000000111644","0.0000000125903","0.000000300858","1",,,
"321"," Yn llawen, heb y Pwyll, a gwna ditheu hynny","9","0.27009","0.03001","0.146698","0.00810538","0.193682","0.00333444","0.0162998","0.000900597","0.0215202","0.000000508221","0.00000248434","0.000000137265","0.00000328002","1",,,
"322"," Guawl a aeth parth a y gyuoeth","7","0.305647","0.0436639","0.213449","0.0133457","0.318924","0.00623769","0.0304928","0.00190653","0.0455606","0.00000259796","0.0000127","0.000000794058","0.0000189757","1",,,
"323"," Y neuad ynteu a gyweirwyt y Pwyll a e niuer, ac yniuer y llys y am hynny","17","0.674939","0.0397023","0.194073","0.0267966","0.640292","0.00233543","0.011416","0.00157627","0.0376642","0.0000000279622","0.000000136685","0.0000000188727","0.000000450955","1",,,
"324"," Ac y r bordeu yd aethont y eisted, ac ual yd eistedyssant ulwydyn o r nos honno, yd eistedwys paub y nos [honno]","23","0.448578","0.0195034","0.0953323","0.0087488","0.20903","0.000847974","0.00414488","0.000380383","0.00908825","0.0000000030302","0.0000000148116","0.00000000135928","0.0000000324765","1",,,
"325"," Bwyta a chyuedach a wnaethont, ac amser a doeth y uynet y gyscu","13","0.537754","0.0413657","0.202215","0.0222446","0.531583","0.00318198","0.015555","0.00171112","0.040891","0.00000011141","0.000000544624","0.0000000599112","0.00000143171","1",,,
"326"," Ac y r ystauell yd aeth Pwyll a Riannon, a threulaw y nos honno drwy digriuwch a llonydwch","18","0.573191","0.031844","0.155666","0.0182527","0.436176","0.00176911","0.00864812","0.00101404","0.024232","0.0000000168525","0.0000000823819","0.00000000965971","0.000000230833","1",,,
"327"," A thrannoeth, yn ieuengtit y dyd, Arglwyd, heb Riannon, kyuot y uynyd, a dechreu lonydu y kerdoryon, ac na ommed neb hediw, o r a uynno da","27","0.734821","0.0272156","0.133039","0.0199986","0.477884","0.00100798","0.00492737","0.000740688","0.0176994","0.0000000018967","0.00000000927173","0.00000000139374","0.0000000333046","1",,,
"328"," Hynny a wnaf i, yn llawen, heb y Pwyll, a hediw a pheunyd tra parhao y wled honn","18","0.583639","0.0324244","0.158503","0.0189241","0.452217","0.00180135","0.00880572","0.00105134","0.0251232","0.0000000171597","0.0000000838832","0.0000000100151","0.000000239323","1",,,
"329"," Ef a gyuodes Pwyll y uynyd, a pheri dodi gostec, y erchi y holl eircheit a cherdoryon dangos, a menegi udunt y llonydit pawb o honunt wrth y uod a y uympwy ; a hynny a wnaethpwyd","36","1.37111","0.0380865","0.18618","0.0522208","1.24786","0.00105796","0.00517166","0.00145058","0.0346629","0.00000000062988","0.00000000307907","0.000000000863637","0.0000000206374","1",,,
"330"," Y wled honno a dreulwyt, ac ny ommedwyt neb tra barhaud","11","0.240393","0.0218539","0.106832","0.00525354","0.125544","0.00198672","0.00971199","0.000477594","0.0114131","0.000000135696","0.000000663342","0.0000000326203","0.000000779528","1",,,
